# faultline run log - campaign, seed and these player decisions replay the run exactly
# enemy commands and node entries are omitted: they are functions of the state
campaign	faultline
seed	1
player	careful
1	0	Vanguard	Deploy	u0	(0,5)
2	0	Wardbearer	Deploy	u2	(6,0)
3	0	Threadcaster	Deploy	u1	(0,6)
4	0	Archer	Deploy	u3	(6,1)
103	1	Vanguard	Ability	u0	BullRush	dir=Up
104	1	Wardbearer	Move	u2	(7,1)	(7,1)
105	1	Wardbearer	Move	u2	(7,0)	(7,0)
106	1	Wardbearer	Move	u2	(7,1)	(7,1)
107	1	Wardbearer	Ability	u2	SpearThrust	dir=Down
108	1	Threadcaster	Move	u1	(1,4)	(1,4)
109	1	Threadcaster	Move	u1	(1,3)	(1,3)
110	1	Threadcaster	Move	u1	(2,3)	(2,3)
111	1	Threadcaster	Ability	u1	Reel	target=u4
112	1	Archer	Move	u3	(8,1)	(8,1)
113	1	Archer	Move	u3	(8,0)	(8,0)
114	1	Archer	Move	u3	(8,1)	(8,1)
115	1	Archer	Ability	u3	StaggerShot	target=u5
116	1	Vanguard	Move	u0	(1,0)	(1,0)
117	1	Vanguard	Move	u0	(2,0)	(2,0)
118	1	Vanguard	Move	u0	(3,0)	(3,0)
119	1	Vanguard	Ability	u0	BullRush	dir=Right
120	1	Wardbearer	Move	u2	(6,1)	(6,1)
121	1	Wardbearer	Move	u2	(6,0)	(6,0)
122	1	Wardbearer	Move	u2	(6,1)	(6,1)
123	1	Wardbearer	Ability	u2	GuardStance	-
124	1	Threadcaster	Move	u1	(2,2)	(2,2)
125	1	Threadcaster	Move	u1	(2,1)	(2,1)
126	1	Threadcaster	Move	u1	(2,0)	(2,0)
127	1	Threadcaster	End	u1
128	1	Archer	Move	u3	(8,0)	(8,0)
129	1	Archer	Move	u3	(8,1)	(8,1)
130	1	Archer	Move	u3	(8,0)	(8,0)
131	1	Archer	Ability	u3	StaggerShot	target=u5
132	1	Vanguard	Move	u0	(6,0)	(6,0)
133	1	Vanguard	Move	u0	(7,0)	(7,0)
134	1	Vanguard	Move	u0	(6,0)	(6,0)
135	1	Vanguard	Ability	u0	BullRush	dir=Right
136	1	Archer	Ability	u3	StaggerShot	target=u7
137	1	Vanguard	Move	u0	(7,1)	(7,1)
138	1	Vanguard	Move	u0	(7,0)	(7,0)
139	1	Vanguard	Move	u0	(7,1)	(7,1)
140	1	Vanguard	Ability	u0	BullRush	dir=Up
141	1	Archer	Ability	u3	StaggerShot	target=u8
142	1	Vanguard	Move	u0	(8,0)	(8,0)
143	1	Vanguard	Move	u0	(7,0)	(7,0)
144	1	Vanguard	Move	u0	(8,0)	(8,0)
145	1	Vanguard	Ability	u0	BullRush	dir=Down
146	1	Vanguard	Ability	u0	BullRush	dir=Down
