# faultline run log - campaign, seed and these player decisions replay the run exactly
# enemy commands and node entries are omitted: they are functions of the state
campaign	faultline
seed	1
player	first-legal
1	0	Vanguard	Deploy	u0	(0,5)
2	0	Wardbearer	Deploy	u2	(6,0)
3	0	Threadcaster	Deploy	u1	(0,6)
4	0	Archer	Deploy	u3	(6,1)
104	1	Archer	Move	u3	(8,0)	(8,0)
105	1	Archer	Move	u3	(8,1)	(8,1)
106	1	Archer	Move	u3	(8,0)	(8,0)
107	1	Archer	Attack	u3	u9	Damage
108	1	Vanguard	Move	u0	(5,0)	(5,0)
109	1	Vanguard	Move	u0	(6,0)	(6,0)
110	1	Vanguard	Move	u0	(6,1)	(6,1)
111	1	Vanguard	Ability	u0	BullRush	dir=Up
112	1	Wardbearer	Move	u2	(7,1)	(7,1)
113	1	Wardbearer	Move	u2	(7,0)	(7,0)
114	1	Wardbearer	Move	u2	(7,1)	(7,1)
115	1	Wardbearer	Ability	u2	GuardStance	-
116	1	Archer	Move	u3	(8,1)	(8,1)
117	1	Archer	Move	u3	(8,0)	(8,0)
118	1	Archer	Move	u3	(8,1)	(8,1)
119	1	Archer	End	u3
120	1	Vanguard	Move	u0	(7,0)	(7,0)
121	1	Vanguard	Move	u0	(8,0)	(8,0)
122	1	Vanguard	Move	u0	(7,0)	(7,0)
123	1	Vanguard	Ability	u0	BullRush	dir=Right
124	1	Wardbearer	Move	u2	(7,0)	(7,0)
125	1	Wardbearer	Move	u2	(7,1)	(7,1)
126	1	Wardbearer	Move	u2	(7,0)	(7,0)
127	1	Wardbearer	Ability	u2	SpearThrust	dir=Left
128	1	Archer	Move	u3	(8,2)	(8,2)
129	1	Archer	Move	u3	(8,1)	(8,1)
130	1	Archer	Move	u3	(8,2)	(8,2)
131	1	Archer	End	u3
132	1	Vanguard	Move	u0	(8,1)	(8,1)
133	1	Vanguard	Move	u0	(8,0)	(8,0)
134	1	Vanguard	Move	u0	(8,1)	(8,1)
135	1	Vanguard	Ability	u0	BullRush	dir=Up
136	1	Wardbearer	Move	u2	(7,1)	(7,1)
137	1	Wardbearer	Move	u2	(7,0)	(7,0)
138	1	Wardbearer	Move	u2	(7,1)	(7,1)
139	1	Wardbearer	Attack	u2	u4	Damage
140	1	Archer	Move	u3	(8,1)	(8,1)
141	1	Archer	Move	u3	(8,2)	(8,2)
142	1	Archer	Move	u3	(8,1)	(8,1)
143	1	Archer	Attack	u3	u8	Damage
144	2	Vanguard	Deploy	u0	(0,5)
145	2	Wardbearer	Deploy	u2	(6,0)
146	2	Threadcaster	Deploy	u1	(0,6)
147	2	Archer	Deploy	u3	(5,1)
148	2	Vanguard	Move	u0	(0,4)	(0,4)
149	2	Vanguard	Move	u0	(0,3)	(0,3)
150	2	Vanguard	Move	u0	(0,2)	(0,2)
151	2	Vanguard	Ability	u0	BullRush	dir=Up
152	2	Wardbearer	Move	u2	(6,1)	(6,1)
153	2	Wardbearer	Move	u2	(6,0)	(6,0)
154	2	Wardbearer	Move	u2	(6,1)	(6,1)
155	2	Wardbearer	Ability	u2	GuardStance	-
156	2	Threadcaster	Move	u1	(0,5)	(0,5)
157	2	Threadcaster	Move	u1	(1,5)	(1,5)
158	2	Threadcaster	Move	u1	(1,4)	(1,4)
159	2	Threadcaster	Attack	u1	u5	Damage
160	2	Archer	Move	u3	(6,1)	(6,1)
161	2	Archer	Move	u3	(6,0)	(6,0)
162	2	Archer	Move	u3	(6,1)	(6,1)
163	2	Archer	Attack	u3	u4	Damage
164	2	Vanguard	Move	u0	(1,0)	(1,0)
165	2	Vanguard	Move	u0	(2,0)	(2,0)
166	2	Vanguard	Move	u0	(3,0)	(3,0)
167	2	Vanguard	Ability	u0	BullRush	dir=Right
168	2	Archer	Move	u3	(6,2)	(6,2)
169	2	Archer	Move	u3	(6,1)	(6,1)
170	2	Archer	Move	u3	(6,2)	(6,2)
171	2	Archer	Attack	u3	u6	Damage
172	2	Vanguard	Move	u0	(6,1)	(6,1)
173	2	Vanguard	Move	u0	(6,0)	(6,0)
174	2	Vanguard	Move	u0	(6,1)	(6,1)
175	2	Vanguard	Ability	u0	BullRush	dir=Up
176	2	Archer	Move	u3	(6,1)	(6,1)
177	2	Archer	Move	u3	(6,2)	(6,2)
178	2	Archer	Move	u3	(6,1)	(6,1)
179	2	Archer	End	u3
180	2	Vanguard	Move	u0	(5,0)	(5,0)
181	2	Vanguard	Move	u0	(6,0)	(6,0)
182	2	Vanguard	Move	u0	(5,0)	(5,0)
183	2	Vanguard	Ability	u0	BullRush	dir=Right
184	2	Vanguard	Move	u0	(6,1)	(6,1)
185	2	Vanguard	Move	u0	(6,0)	(6,0)
186	2	Vanguard	Move	u0	(6,1)	(6,1)
187	2	Vanguard	Attack	u0	u5	Damage
